ID,name,Topt_C,fAPARmax,geometry
US-ONA,Florida pine flatwoods,18.39,0.5321,POINT (-81.9509 27.3836)
US-CC1,Coloma Corn 1,0.0,0.4566,POINT (-89.6787 44.0732)
US-Rls,RCEW Low Sagebrush,0.0,0.2933,POINT (-116.7356 43.1439)
US-UMd,UMBS Disturbance,0.0,0.44220000000000004,POINT (-84.6975 45.5625)
US-PFq,SE3 Aspen-4 CHEESEHEAD 2019,0.0,0.49510000000000004,POINT (-90.2475 45.9271)
US-PFn,SW4 Hardwood-3 CHEESEHEAD 2019,0.0,0.4872,POINT (-90.2823 45.9392)
US-HB3,Hobcaw Barony Longleaf Pine Restoration,12.81,0.5752,POINT (-79.2322 33.3482)
US-DFC,"US Dairy Forage Research Center, Prairie du Sac",0.0,0.4192,POINT (-89.7117 43.3448)
US-Wkg,Walnut Gulch Kendall Grasslands,15.57,0.2651,POINT (-109.9419 31.7365)
US-CF1,CAF-LTAR Cook East,0.0,0.3501,POINT (-117.0821 46.7815)
US-Ho2,Howland Forest (west tower),0.0,0.5660000000000001,POINT (-68.747 45.2091)
US-Snf,Sherman Barn,10.83,0.4022,POINT (-121.7272 38.0402)
US-Me2,Metolius mature ponderosa pine,0.0,0.5123,POINT (-121.5574 44.4523)
US-CF3,CAF-LTAR Boyd North,0.0,0.3514,POINT (-117.1261 46.7551)
US-Ne1,Mead - irrigated continuous maize site,1.85,0.397,POINT (-96.4766 41.1651)
US-Ha2,Harvard Forest Hemlock Site,0.0,0.5545,POINT (-72.1779 42.5393)
CA-Ca3,British Columbia - Pole sapling Douglas-fir stand,6.34,0.6107,POINT (-124.9004 49.5346)
US-SP1,Slashpine-Austin Cary- 65yrs nat regen,15.93,0.5694,POINT (-82.2188 29.7381)
US-UMB,Univ. of Mich. Biological Station,0.0,0.4431,POINT (-84.7138 45.5598)
US-Bi1,Bouldin Island Alfalfa,13.84,0.44160000000000005,POINT (-121.4993 38.0992)
US-PFi,NE3 Hardwood-1 CHEESEHEAD 2019,0.0,0.4958,POINT (-90.2327 45.9749)
US-CF2,CAF-LTAR Cook West,0.0,0.3501,POINT (-117.0908 46.784)
US-KFS,Kansas Field Station,4.28,0.47790000000000005,POINT (-95.1907 39.0561)
US-CMW,Charleston Mesquite Woodland,12.27,0.2761,POINT (-110.1777 31.6637)
US-Ro4,Rosemount Prairie,0.0,0.404,POINT (-93.0723 44.6781)
